DATE,SITE,CHAN,DIST,DOSE,SEDTP,AM.UTP,GM.UTP,BIOMASS,ABUNDANCE,NO.TAXA,PREDATORS,%ASTROPODA,NO.OLIGOCHAETA,NO.MICROCRUSTACEA,DEP.SENS,BCD
5/96,1,6,6,UC,181.4,23.22142857,11.7399787,12.8525,86,12,1.162790698,62.79069767,0,3,4.651162791,-0.15026
5/96,2,1,2,150,1380.4,48.96,43.68479059,77.6796,304,22,2.302631579,27.30263158,88,61,1.644736842,1.85794
5/96,2,1,4,150,1841.699951,34.23333333,33.68322706,54.3047,393,23,2.290076336,26.46310433,33,208,0.254452926,1.48462
5/96,2,1,6,150,1551.4,29.27142857,26.23252361,75.4932,226,15,3.982300885,39.82300885,36,77,0,1.00749
5/96,2,5,2,WC,131.5,11.936,11.50751155,15.3587,95,11,2.105263158,80,0,3,0,-0.32576
5/96,2,5,4,WC,212.8999939,15.748,15.11972224,13.0705,76,12,3.947368421,78.94736842,0,2,0,-0.70854
5/96,2,5,6,WC,240.7,11.15,11.38162258,41.7764,138,12,4.347826087,63.76811594,0,0,0,-0.9785
5/96,2,6,2,UC,268.8999939,12.176,9.708482617,69.4171,167,14,2.994011976,48.50299401,0,2,0.598802395,-0.4857
5/96,2,6,4,UC,281.3999939,10.576,9.53529331,84.4056,204,21,4.901960784,48.52941176,0,2,0.490196078,-0.41855
5/96,2,6,6,UC,230.6999969,8.957142857,8.20710301,67.382,215,17,2.325581395,63.72093023,0,3,1.860465116,-0.18782
9/96,1,1,2,50,848.9,25.00714286,17.81427318,10.4525,46,15,6.52173913,13.04347826,21,9,2.173913043,0.61764
9/96,1,1,4,50,648.1,20.49259259,13.8737699,13.3752,89,20,4.494382022,6.741573034,58,3,10.11235955,0.81756
9/96,1,1,6,50,661.2999878,14.45714286,12.28034479,5.2994,51,18,5.882352941,9.803921569,25,5,7.843137255,0.44292
9/96,1,2,2,150,1292.400024,33.36296296,24.07081233,39.6463,98,15,1.020408163,33.67346939,30,11,8.163265306,-0.06616
9/96,1,2,4,150,1242.800049,36.37142857,23.38278341,65.1451,269,25,4.089219331,29.36802974,74,31,10.40892193,0.18241
9/96,1,2,6,150,1058.400024,32.02142857,25.68738461,4.5525,34,14,2.941176471,11.76470588,9,4,20.58823529,-0.10049
9/96,1,3,2,30,385.6000061,37.76785714,29.04946307,3.9053,43,10,6.976744186,9.302325581,32,3,0,1.2422
9/96,1,3,4,30,880.2999878,22.44285714,18.37516455,11.2705,42,11,2.380952381,28.57142857,0,20,7.142857143,-0.97963
9/96,1,3,6,30,778.5999756,19.17142857,12.88417739,39.1321,238,22,19.74789916,8.403361345,146,9,2.100840336,0.5442
9/96,1,4,2,WC,269.6000061,9.903571429,8.662470855,27.6702,120,24,5,38.33333333,11,10,3.333333333,-0.26789
9/96,1,4,4,WC,245.8999939,9.951851852,8.980001057,21.4286,162,23,9.259259259,35.18518519,6,10,16.66666667,-0.77804
9/96,1,4,6,WC,264.8,8.65,7.374292755,17.2292,62,11,3.225806452,54.83870968,1,3,14.51612903,-1.34937
9/96,1,5,2,75,1136.9,46.9037037,37.30024892,15.005,95,15,5.263157895,22.10526316,38,16,1.052631579,0.11833
9/96,1,5,4,75,1092.7,41.90357143,24.16728841,25.6525,87,17,3.448275862,29.88505747,18,28,3.448275862,-0.01234
9/96,1,5,6,75,689.7999878,25.99285714,18.04737058,21.6528,36,13,11.11111111,58.33333333,2,3,5.555555556,-0.4677
9/96,1,6,2,UC,54.79999924,11.67142857,10.22668009,15.0109,69,14,5.797101449,18.84057971,3,0,23.1884058,-1.01154
9/96,1,6,4,UC,280.3,10.53571429,9.583089167,15.1587,56,16,37.5,37.5,3,3,3.571428571,-0.60704
9/96,1,6,6,UC,181.4,9.207142857,7.560973865,23.4823,81,11,53.08641975,17.28395062,0,4,0,-0.89747
9/96,2,1,2,150,1380.4,44,22.4210444,51.2858,268,22,4.104477612,19.7761194,120,46,3.731343284,1.02316
9/96,2,1,4,150,1841.699951,28.45357143,18.95371586,42.4401,87,16,1.149425287,31.03448276,35,5,5.747126437,0.44174
9/96,2,1,6,150,1551.4,20.32857143,14.59968568,41.1171,76,13,0,28.94736842,24,12,0,0.14947
9/96,2,2,2,75,1033.7,56.61785714,43.72849723,51.8448,208,18,1.442307692,13.46153846,118,46,0.961538462,1.11426
9/96,2,2,4,75,688.3,37.54642857,28.33222927,14.4926,114,14,4.385964912,12.28070175,70,13,0.877192982,1.07866
9/96,2,2,6,75,513.2999878,24.01428571,20.32801533,22.4339,138,16,2.173913043,11.5942029,69,43,0.724637681,1.22839
9/96,2,3,2,30,460.2999878,39.18888889,24.5325302,22.2643,79,12,1.265822785,25.3164557,19,32,0,0.27096
9/96,2,3,4,30,459,25.60714286,18.06542698,77.5755,216,19,7.87037037,47.68518519,26,50,0.462962963,0.45777
9/96,2,3,6,30,259.3999939,19.62857143,15.33288702,39.2348,85,19,10.58823529,45.88235294,19,9,0,0.15809
9/96,2,4,2,50,689.6,51.38148148,34.36367338,147.8796,223,18,1.793721973,21.52466368,131,13,1.34529148,0.70714
9/96,2,4,4,50,551.5999756,25.20714286,21.13647033,27.8286,86,16,2.325581395,23.25581395,50,7,2.325581395,0.83712
9/96,2,4,6,50,418.1,20.05714286,16.91160377,53.6696,169,19,1.183431953,59.76331361,43,11,3.550295858,0.32688
9/96,2,5,2,WC,131.5,13.03928571,10.54867226,6.2292,28,9,17.85714286,28.57142857,8,0,0,-0.31605
9/96,2,5,4,WC,212.8999939,16.5,12.9487596,17.2764,43,8,9.302325581,34.88372093,2,0,0,-1.29797
9/96,2,5,6,WC,240.7,11.74285714,10.05429594,34.5997,118,16,8.474576271,33.89830508,2,1,4.237288136,-1.11567
9/96,2,6,2,UC,268.8999939,11.13928571,8.482455741,78.5528,87,12,4.597701149,50.57471264,2,1,2.298850575,-1.0257
9/96,2,6,4,UC,281.3999939,10.38214286,8.899543649,36.2115,75,16,9.333333333,29.33333333,2,4,1.333333333,-0.78608
9/96,2,6,6,UC,230.6999969,8.778571429,7.530790377,78.282,82,16,8.536585366,29.26829268,5,2,3.658536585,-0.67975
1/97,1,1,2,50,848.9,19.68461538,17.21876883,18.5758,178,27,7.303370787,10.11235955,69,11,1.123595506,-0.08231
1/97,1,1,4,50,648.1,18.45769231,16.42821034,80.361,466,29,3.433476395,7.510729614,250,16,1.502145923,0.43293
1/97,1,1,6,50,661.2999878,23.89230769,14.74641496,88.8274,426,36,7.746478873,12.44131455,105,16,5.164319249,0.20458
1/97,1,2,2,150,1292.400024,26.53461538,20.71794017,110.3447,934,34,1.070663812,4.817987152,471,112,7.3875803,0.71982
1/97,1,2,4,150,1242.800049,22.13461538,18.1378334,99.3748,936,41,2.777777778,0.961538462,87,45,21.36752137,0.78845
1/97,1,2,6,150,1058.400024,22.76153846,16.51055709,109.0432,944,41,2.966101695,6.355932203,73,80,17.79661017,0.85683
1/97,1,3,2,30,385.6000061,30.54230769,22.60113215,66.0687,323,30,3.095975232,1.547987616,127,27,5.572755418,0.33441
1/97,1,3,4,30,880.2999878,21.55,18.06542698,81.7162,172,25,5.23255814,13.95348837,47,18,13.37209302,-0.04034
1/97,1,3,6,30,778.5999756,17.63076923,15.04431231,81.8035,240,29,5.833333333,17.08333333,107,11,10.83333333,-0.15645
1/97,1,4,2,WC,269.6000061,10.66153846,9.459315281,10.1755,114,25,16.66666667,10.52631579,17,6,15.78947368,-0.69001
1/97,1,4,4,WC,245.8999939,14.48461538,9.737651797,17.7345,82,22,6.097560976,25.6097561,19,4,14.63414634,-1.21908
1/97,1,4,6,WC,264.8,8.658333333,7.853819704,8.7637,80,20,23.75,5,12,3,31.25,-1.83353
1/97,1,5,2,75,1136.9,44.45,36.63485098,43.0858,297,24,4.713804714,2.693602694,200,26,1.346801347,0.874
1/97,1,5,4,75,1092.7,51.44615385,34.02174912,28.0696,153,28,10.45751634,9.150326797,66,27,3.267973856,0.12511
1/97,1,5,6,75,689.7999878,38.71538462,28.21912671,32.7991,127,25,5.511811024,10.23622047,32,27,1.57480315,0.11356
1/97,1,6,2,UC,54.79999924,12.70384615,11.12283275,21.3401,120,28,15,4.166666667,32,12,16.66666667,-0.7602
1/97,1,6,4,UC,280.3,13.55,11.26837354,81.9867,182,26,18.68131868,7.142857143,50,8,13.18681319,-0.39574
1/97,1,6,6,UC,181.4,10.74615385,9.290570862,24.4637,110,29,20,12.72727273,25,5,10,-0.68608
1/97,2,1,2,150,1380.4,21.90384615,16.19981788,160.2973,473,34,2.325581395,16.91331924,126,158,4.016913319,0.93581
1/97,2,1,4,150,1210.399976,17.59230769,15.21071327,101.6371,639,39,1.72143975,6.729264476,270,68,3.912363067,1.16484
1/97,2,1,6,150,1551.4,16.40769231,13.81838566,59.8032,461,39,4.772234273,9.110629067,125,77,5.856832972,0.52577
1/97,2,2,2,75,1033.7,54.05384615,37.71281662,43.5979,482,34,3.319502075,6.639004149,91,162,4.149377593,1.06159
1/97,2,2,4,75,688.3,24.01153846,18.7276305,19.7283,287,27,1.045296167,6.620209059,117,77,7.317073171,0.63724
1/97,2,2,6,75,513.2999878,16.45384615,13.5041899,55.9424,454,29,4.845814978,8.370044053,253,67,1.982378855,0.84914
1/97,2,3,2,30,460.2999878,42.228,27.27580376,39.8463,367,30,11.17166213,3.269754768,74,96,2.179836512,0.67236
1/97,2,3,4,30,459,22.45384615,17.67232753,98.3321,375,30,2.666666667,6.133333333,175,51,2.133333333,0.49558
1/97,2,3,6,30,259.3999939,13.80769231,12.7177671,48.1985,188,32,10.63829787,13.29787234,84,12,9.042553191,0.01649
1/97,2,4,2,50,689.6,26.88076923,22.57854231,31.4457,219,23,3.652968037,5.02283105,138,8,1.369863014,0.33885
1/97,2,4,4,50,551.5999756,17.96153846,15.73676981,27.2814,236,28,5.084745763,7.203389831,70,49,4.661016949,0.69516
1/97,2,4,6,50,418.1,13.83076923,12.75597769,88.0165,197,28,14.21319797,19.79695431,61,11,6.598984772,-0.12687
1/97,2,5,2,WC,131.5,12.21923077,11.81063031,9.0457,95,28,18.94736842,2.105263158,18,10,12.63157895,-1.05271
1/97,2,5,4,WC,212.8999939,10.82692308,9.727919013,10.9165,81,25,19.75308642,6.172839506,18,1,20.98765432,-1.31932
1/97,2,5,6,WC,240.7,9.461538462,8.740784978,17.8581,84,28,23.80952381,13.0952381,17,9,9.523809524,-0.98287
1/97,2,6,2,UC,268.8999939,9.853846154,8.749530134,29.7923,198,30,6.565656566,6.565656566,9,4,26.76767677,-0.57702
1/97,2,6,4,UC,281.3999939,8.9,8.223533641,39.0578,157,29,5.095541401,9.554140127,8,2,12.7388535,-1.3455
1/97,2,6,6,UC,230.6999969,8.346153846,7.675243351,25.8457,159,31,32.0754717,5.660377358,14,7,10.6918239,-0.57446
2/98,1,1,2,50,803,13.56250002,13.18192685,62.0979,841,41,4.51843044,2.378121284,188,412,3.210463734,1.0998
2/98,1,1,4,50,502.9,14.59999981,16.04891892,30.7938,519,32,6.743737958,1.348747592,128,207,5.202312139,0.72304
2/98,1,1,6,50,837.4,10.77499991,11.95944632,37.7227,610,30,3.442622951,5.245901639,213,248,4.426229508,0.74862
2/98,1,2,2,150,1219.5,19.67499995,21.59621199,67.992,1183,43,7.438715131,8.368554522,218,413,4.480135249,1.16687
2/98,1,2,4,150,1441.5,23.9500001,25.09065511,89.6165,1637,45,2.443494197,5.681124007,663,548,1.649358583,1.28203
2/98,1,2,6,150,1240.2,12.79999991,14.60461082,93.5799,1346,42,3.937592868,3.120356612,388,511,3.343239227,1.18399
2/98,1,3,2,30,908.4,24.26250043,23.05206737,35.1702,507,36,2.761341223,2.169625247,200,183,1.183431953,0.68304
2/98,1,3,4,30,824.7,16.86250024,17.24208282,28.4643,269,31,4.089219331,5.204460967,79,81,4.832713755,0.11359
2/98,1,3,6,30,812.2,15.5000001,17.30165166,13.4938,205,25,7.317073171,9.268292683,72,50,3.902439024,-0.11203
2/98,1,4,2,WC,416.3,9.199999988,9.008414937,28.941,100,17,10,8,34,12,4,-1.04779
2/98,1,4,4,WC,278,11.8250001,8.993152385,10.7587,95,21,4.210526316,12.63157895,25,30,4.210526316,-0.80188
2/98,1,4,6,WC,416.5,11.65,10.61154792,7.4056,85,21,8.235294118,7.058823529,14,29,3.529411765,-1.32473
2/98,1,5,2,75,1389.7,42.925,41.17839964,30.0637,799,30,3.37922403,1.251564456,424,266,0.250312891,0.85105
2/98,1,5,4,75,936.9,23.01249986,21.45651977,16.7233,206,17,4.854368932,10.19417476,85,50,1.45631068,-0.19134
2/98,1,5,6,75,1203.9,19.42500029,19.6041295,63.2168,245,28,9.795918367,6.12244898,77,66,2.448979592,0.82862
2/98,1,6,2,UC,358,10.98571434,10.68036483,12.182,93,24,1.075268817,7.52688172,12,24,3.225806452,-1.57159
2/98,1,6,4,UC,264,8.874999953,9.071725849,13.2587,83,14,1.204819277,4.819277108,11,26,1.204819277,-1.80081
2/98,1,6,6,UC,411.9,9.125000048,8.700251073,23.3646,56,18,14.28571429,5.357142857,13,9,3.571428571,-1.5931
2/98,2,1,2,150,1702.7,12.72499989,12.36268673,18.6587,498,27,1.807228916,8.232931727,44,336,1.807228916,0.40062
2/98,2,1,4,150,1205.2,10.52500005,10.19340298,38.882,353,29,8.21529745,6.798866856,88,132,5.949008499,0.45605
2/98,2,1,6,150,1312.5,8.175000048,7.783215172,14.9519,465,29,4.086021505,5.376344086,236,116,4.516129032,0.49218
2/98,2,2,2,75,747.9,17.48749983,18.18776656,7.3348,471,27,1.27388535,7.006369427,33,344,1.910828025,0.15638
2/98,2,2,4,75,778.1,14.87499998,12.82875015,25.6643,342,27,2.631578947,11.40350877,37,194,1.754385965,0.49734
2/98,2,2,6,75,713.4,13.2750001,12.07636497,31.4401,487,37,4.31211499,9.650924025,126,178,5.544147844,0.72077
2/98,2,3,2,30,502.7,13.03750011,11.98666662,26.7696,289,31,4.844290657,9.342560554,83,94,3.806228374,0.29817
2/98,2,3,4,30,454.3,12.36250012,11.58884179,18.1171,288,29,3.819444444,8.333333333,30,155,6.944444444,0.09432
2/98,2,3,6,30,626.6,10.47499998,10.43707181,28.8171,206,26,15.04854369,7.766990291,23,46,8.737864078,-0.12052
2/98,2,4,2,50,672.9,18.47500007,18.70792781,40.9814,276,36,2.898550725,15.57971014,52,90,5.434782609,0.36952
2/98,2,4,4,50,608.7,16.5,17.45750542,21.8342,299,35,7.692307692,17.39130435,46,78,8.695652174,0.34764
2/98,2,4,6,50,256.4,16.95000005,18.25244298,11.6522,363,30,3.305785124,4.132231405,147,88,6.336088154,0.24465
2/98,2,5,2,WC,349.4,10.51250013,10.12430798,19.5994,137,26,8.759124088,24.08759124,22,20,7.299270073,-0.58068
2/98,2,5,4,WC,291.5,10.26249991,8.600556779,35.7876,157,30,7.006369427,20.38216561,28,25,7.006369427,-0.41948
2/98,2,5,6,WC,308.5,9.925000143,7.147789232,37.0404,233,35,12.44635193,17.59656652,44,56,9.442060086,0.03633
2/98,2,6,2,UC,345,10.5750001,7.071627454,55.6115,119,27,9.243697479,29.41176471,14,9,9.243697479,-1.39091
2/98,2,6,4,UC,338.1,7.99999994,8.137014596,32.182,125,25,6.4,19.2,28,15,8.8,-0.61443
2/98,2,6,6,UC,313.8,7.225000048,7.071685222,111.5643,102,21,5.882352941,27.45098039,19,8,5.882352941,-1.22532
9/98,1,1,2,50,803,14.16666667,10.38123656,32.0436,90,11,7.777777778,3.333333333,49,5,0,1.08816
9/98,1,1,4,50,502.9,13.42666667,10.25740619,6.5476,22,9,22.72727273,31.81818182,9,1,0,0.33703
9/98,1,1,6,50,837.4,12.5625,11.55363377,3.5264,15,10,33.33333333,20,0,0,13.33333333,-0.46156
9/98,1,2,2,150,1219.5,40.16,28.6169729,13.4164,108,14,3.703703704,18.51851852,79,4,0,0.50633
9/98,1,2,4,150,1441.5,22.24,21.24241733,8.1668,100,20,11,7,62,5,0,1.18198
9/98,1,2,6,150,1240.2,15.5875,16.05467364,8.7644,40,9,5,32.5,19,3,0,0.27229
9/98,1,3,2,30,908.4,13.86,14.3967142,26.5372,114,14,5.263157895,9.649122807,73,12,0,0.45957
9/98,1,3,4,30,824.7,16.19333333,11.72824459,9.0044,40,7,0,17.5,26,4,0,0.83062
9/98,1,3,6,30,812.2,11.5625,11.38162258,2.8228,7,4,28.57142857,57.14285714,0,1,0,-1.01145
9/98,1,4,2,WC,416.3,12.04,10.27794153,2.8228,16,8,0,62.5,1,3,0,-0.90274
9/98,1,4,4,WC,278,8.146666667,6.79372913,5.17,19,6,5.263157895,78.94736842,0,1,5.263157895,-1.84094
9/98,1,4,6,WC,416.5,8.9875,7.89318714,13.6,11,6,18.18181818,54.54545455,0,1,0,-1.68737
9/98,1,5,2,75,1389.7,20.05333333,17.74315841,53.4104,111,20,1.801801802,16.21621622,33,19,4.504504505,1.12743
9/98,1,5,4,75,936.9,16.31333333,14.96927849,23.2972,88,19,15.90909091,6.818181818,45,8,0,0.98818
9/98,1,5,6,75,1203.9,13.225,12.36660878,11.162,45,14,13.33333333,51.11111111,4,4,0,-0.28333
9/98,1,6,2,UC,358,8.673333333,8.004468914,11.6904,73,11,1.369863014,5.479452055,1,3,1.369863014,-1.04485
9/98,1,6,4,UC,264,8.046666667,7.120657025,26.5084,86,12,3.488372093,22.09302326,5,4,2.325581395,-0.44919
9/98,1,6,6,UC,411.9,7.4125,6.592944091,28.3192,68,15,10.29411765,47.05882353,2,1,0,-0.49032
9/98,2,1,2,150,1702.7,26.21333333,25.55926824,39.5292,185,19,1.081081081,4.864864865,101,39,1.081081081,0.9246
9/98,2,1,4,150,1205.2,23.82,23.80748436,64.2432,109,18,2.752293578,28.44036697,35,16,0.917431193,0.46078
9/98,2,1,6,150,1312.5,17,15.01425375,15.9024,85,17,7.058823529,14.11764706,15,35,2.352941176,0.29132
9/98,2,2,2,75,747.9,34.82,30.23499414,6.1912,78,11,7.692307692,7.692307692,31,25,0,0.59727
9/98,2,2,4,75,778.1,29.83333333,27.13976512,10.0428,50,9,4,8,26,14,0,0.67429
9/98,2,2,6,75,713.4,25.9875,21.52037154,6.3868,66,11,3.03030303,34.84848485,10,23,1.515151515,0.19408
9/98,2,3,2,30,502.7,13.99333333,13.95726275,31.0672,120,17,3.333333333,20.83333333,69,11,0.833333333,0.75054
9/98,2,3,4,30,454.3,13.55333333,12.45347873,29.62,93,14,5.376344086,35.48387097,21,21,0,0.33636
9/98,2,3,6,30,626.6,13.8,12.37898157,20.8556,53,13,5.660377358,50.94339623,4,5,0,-0.16019
9/98,2,4,2,50,672.9,32.14666667,29.93415092,11.1052,67,12,2.985074627,41.79104478,17,6,0,0.47398
9/98,2,4,4,50,608.7,20.3,19.94542911,24.3324,79,13,16.4556962,32.91139241,15,15,0,0.276
9/98,2,4,6,50,256.4,15.5375,12.55350614,30.432,46,14,19.56521739,34.7826087,1,11,2.173913043,0.02932
9/98,2,5,2,WC,349.4,11.48666667,10.54867226,7.8492,59,11,6.779661017,18.6440678,1,10,3.389830508,-0.44885
9/98,2,5,4,WC,291.5,20.57333333,13.94331246,25.652,68,12,8.823529412,50,6,6,0,-0.23292
9/98,2,5,6,WC,308.5,8.375,8.314491864,3.33,44,8,2.272727273,50,0,12,2.272727273,-0.83784
9/98,2,6,2,UC,345,8.073333333,6.692583681,19.8956,64,13,6.25,37.5,1,5,1.5625,-0.64481
9/98,2,6,4,UC,338.1,9.6,8.926282368,15.0428,67,15,4.47761194,14.92537313,2,5,0,-0.55683
9/98,2,6,6,UC,313.8,9.485714286,7.972514989,15.5492,66,11,3.03030303,18.18181818,0,5,1.515151515,-0.7469
